id,county,code
1,Anderson,001
2,Andrews,002
3,Angelina,003
4,Aransas,004
5,Archer,005
6,Armstrong,006
7,Atascosa,007
8,Austin,008
9,Bailey,009
10,Bandera,010
11,Bastrop,011
12,Baylor,012
13,Bee,013
14,Bell,014
15,Bexar,015
16,Blanco,016
17,Borden,017
18,Bosque,018
19,Bowie,019
20,Brazoria,020
21,Brazos,021
22,Brewster,022
23,Briscoe,023
24,Brooks,024
25,Brown,025
26,Burleson,026
27,Burnet,027
28,Caldwell,028
29,Calhoun,029
30,Callahan,030
31,Cameron,031
32,Camp,032
33,Carson,033
34,Cass,034
35,Castro,035
36,Chambers,036
37,Cherokee,037
38,Childress,038
39,Clay,039
40,Cochran,040
41,Coke,041
42,Coleman,042
43,Collin,043
44,Collingsworth,044
45,Colorado,045
46,Comal,046
47,Comanche,047
48,Concho,048
49,Cooke,049
50,Coryell,050
51,Cottle,051
52,Crane,052
53,Crockett,053
54,Crosby,054
55,Culberson,055
56,Dallam,056
57,Dallas,057
58,Dawson,058
59,Deaf Smith,059
60,Delta,060
61,Denton,061
62,DeWitt,062
63,Dickens,063
64,Dimmit,064
65,Donley,065
66,Duval,066
67,Eastland,067
68,Ector,068
69,Edwards,069
70,Ellis,070
71,El Paso,071
72,Erath,072
73,Falls,073
74,Fannin,074
75,Fayette,075
76,Fisher,076
77,Floyd,077
78,Foard,078
79,Fort Bend,079
80,Franklin,080
81,Freestone,081
82,Frio,082
83,Gaines,083
84,Galveston,084
85,Garza,085
86,Gillespie,086
87,Glasscock,087
88,Goliad,088
89,Gonzales,089
90,Gray,090
91,Grayson,091
92,Gregg,092
93,Grimes,093
94,Guadalupe,094
95,Hale,095
96,Hall,096
97,Hamilton,097
98,Hansford,098
99,Hardeman,099
100,Hardin,100
101,Harris,101
102,Harrison,102
103,Hartley,103
104,Haskell,104
105,Hays,105
106,Hemphill,106
107,Henderson,107
108,Hidalgo,108
109,Hill,109
110,Hockley,110
111,Hood,111
112,Hopkins,112
113,Houston,113
114,Howard,114
115,Hudspeth,115
116,Hunt,116
117,Hutchinson,117
118,Irion,118
119,Jack,119
120,Jackson,120
121,Jasper,121
122,Jeff Davis,122
123,Jefferson,123
124,Jim Hogg,124
125,Jim Wells,125
126,Johnson,126
127,Jones,127
128,Karnes,128
129,Kaufman,129
130,Kendall,130
131,Kenedy,131
132,Kent,132
133,Kerr,133
134,Kimble,134
135,King,135
136,Kinney,136
137,Kleberg,137
138,Knox,138
139,Lamar,139
140,Lamb,140
141,Lampasas,141
142,LaSalle,142
143,Lavaca,143
144,Lee,144
145,Leon,145
146,Liberty,146
147,Limestone,147
148,Lipscomb,148
149,Live Oak,149
150,Llano,150
151,Loving,151
152,Lubbock,152
153,Lynn,153
154,Madison,154
155,Marion,155
156,Martin,156
157,Mason,157
158,Matagorda,158
159,Maverick,159
160,McCulloch,160
161,McLennan,161
162,McMullen,162
163,Medina,163
164,Menard,164
165,Midland,165
166,Milam,166
167,Mills,167
168,Mitchell,168
169,Montague,169
170,Montgomery,170
171,Moore,171
172,Morris,172
173,Motley,173
174,Nacogdoches,174
175,Navarro,175
176,Newton,176
177,Nolan,177
178,Nueces,178
179,Ochiltree,179
180,Oldham,180
181,Orange,181
182,Palo Pinto,182
183,Panola,183
184,Parker,184
185,Parmer,185
186,Pecos,186
187,Polk,187
188,Potter,188
189,Presidio,189
190,Rains,190
191,Randall,191
192,Reagan,192
193,Real,193
194,Red River,194
195,Reeves,195
196,Refugio,196
197,Roberts,197
198,Robertson,198
199,Rockwall,199
200,Runnels,200
201,Rusk,201
202,Sabine,202
203,San Augustine,203
204,San Jacinto,204
205,San Patricio,205
206,San Saba,206
207,Schleicher,207
208,Scurry,208
209,Shackelford,209
210,Shelby,210
211,Sherman,211
212,Smith,212
213,Somervell,213
214,Starr,214
215,Stephens,215
216,Sterling,216
217,Stonewall,217
218,Sutton,218
219,Swisher,219
220,Tarrant,220
221,Taylor,221
222,Terrell,222
223,Terry,223
224,Throckmorton,224
225,Titus,225
226,Tom Green,226
227,Travis,227
228,Trinity,228
229,Tyler,229
230,Upshur,230
231,Upton,231
232,Uvalde,232
233,Val Verde,233
234,Van Zandt,234
235,Victoria,235
236,Walker,236
237,Waller,237
238,Ward,238
239,Washington,239
240,Webb,240
241,Wharton,241
242,Wheeler,242
243,Wichita,243
244,Wilbarger,244
245,Willacy,245
246,Williamson,246
247,Wilson,247
248,Winkler,248
249,Wise,249
250,Wood,250
251,Yoakum,251
252,Young,252
253,Zapata,253
254,Zavala,254
